articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
5-4-2015_PS,8.31,8.31,mean,0,MATCH,NA
5-4-2015_PS,7.78,7.81,ci,0.3856041131105316,MINOR_ERROR,NA
5-4-2015_PS,8.84,8.88,ci,0.45248868778281587,MINOR_ERROR,NA
5-4-2015_PS,6.5,6.5,mean,0,MATCH,NA
5-4-2015_PS,5.42,5.5,ci,1.4760147601476028,MINOR_ERROR,NA
5-4-2015_PS,7.58,7.56,ci,0.26385224274406943,MINOR_ERROR,NA
5-4-2015_PS,8.33,8.33,mean,0,MATCH,NA
5-4-2015_PS,7.14,7.14,ci,0,MATCH,NA
5-4-2015_PS,9.52,9.48,ci,0.4201680672268818,MINOR_ERROR,NA
5-4-2015_PS,8.83,8.83,mean,0,MATCH,NA
5-4-2015_PS,7.97,8,ci,0.3764115432873306,MINOR_ERROR,NA
5-4-2015_PS,9.69,9.67,ci,0.2063983488132051,MINOR_ERROR,NA
5-4-2015_PS,69,69,df,0,MATCH,NA
5-4-2015_PS,5.16,5.16,F,0,MATCH,NA
5-4-2015_PS,0.07,0.07,pes,0,MATCH,NA
5-4-2015_PS,<.05,0.01902,p,NA,MATCH,TRUE
