articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
9-2-2015_PS,8.83,8.95,mean,1.359003397508485,MINOR_ERROR,NA
9-2-2015_PS,7.97,8.05,ci,1.0037641154328854,MINOR_ERROR,NA
9-2-2015_PS,9.69,9.85,ci,1.6511867905056776,MINOR_ERROR,NA
9-2-2015_PS,5.42,5.5,ci,1.4760147601476028,MINOR_ERROR,NA
9-2-2015_PS,7.58,7.5,ci,1.0554089709762544,MINOR_ERROR,NA
9-2-2015_PS,7.14,7,ci,1.9607843137254857,MINOR_ERROR,NA
9-2-2015_PS,9.52,9.43,ci,0.9453781512605027,MINOR_ERROR,NA
9-2-2015_PS,7.78,7.88,ci,1.2853470437017949,MINOR_ERROR,NA
9-2-2015_PS,8.84,8.81,ci,0.3393665158370968,MINOR_ERROR,NA
9-2-2015_PS,69,70,df,1.4492753623188406,MINOR_ERROR,NA
9-2-2015_PS,5.76,5.16,F,10.41666666666666,MAJOR_ERROR,NA
9-2-2015_PS,0.07,0.08,pes,14.285714285714276,MAJOR_ERROR,NA
